q1,q2,q3,q4,q5,q6,qw,qx,qy,qz,wx,wy,wz
3.472875786360843e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,5.183154438120012e-20,1.0,1.2423611231886957e-09,2.267965101501693e-09,6.068108556184644e-12,4.400693442395552e-13,2.761726339240957e-13,3.220961379312587e-18
1.597928302774044e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-1.2276499840326385e-21,1.0,1.2423608244251857e-09,2.267963562233372e-09,6.068108540671147e-12,-2.053864492982518e-12,-6.862964913078057e-13,-8.922102952525061e-18
8.406713919826504e-20,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-2.978886364513618e-20,1.0,1.2423619056179152e-09,2.2679644745937566e-09,6.06810853609326e-12,1.9217351620547247e-12,1.2330411350248672e-12,1.3670935598596876e-17
-7.474804061598631e-20,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-1.4613251514283494e-20,1.0,1.2423615096588963e-09,2.26796352915242e-09,6.068108536087415e-12,5.601317487023833e-13,-9.180413090880178e-13,9.819849481928365e-18
-2.7747884789190517e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-6.275747296189698e-20,1.0,1.2423617405541264e-09,2.2679639586052746e-09,6.068108518642682e-12,1.921698982661909e-12,1.2330312956733106e-12,1.0263938691778428e-17
-1.071930793032093e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-7.230778790820215e-20,1.0,1.2423605073266588e-09,2.2679636528387826e-09,6.06810850184567e-12,-9.055359496169676e-13,-1.8310717589441505e-12,-7.093704408845506e-18
-1.3844551008469663e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-8.575996785971343e-20,1.0,1.2423601548964248e-09,2.2679647440996417e-09,6.068108490061748e-12,-3.976287935639881e-12,1.5162227451305208e-12,-2.0093722137815696e-17
-3.0720587419848035e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-1.0927479868293587e-19,1.0,1.2423620451581116e-09,2.2679643746453085e-09,6.0681084983451444e-12,1.921740782558786e-12,1.2330306503561778e-12,9.004529448219266e-18
8.0886037734947995e-22,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-2.2022668747964823e-20,1.0,1.2423608625532749e-09,2.2679632720330284e-09,6.0681084787575915e-12,-9.05530329112906e-13,-1.8310905147743734e-12,-1.3309530216505478e-18
-5.328307456162097e-20,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-1.200387604052588e-19,1.0,1.2423614207021113e-09,2.2679640588432876e-09,6.068108472484173e-12,3.5487828170187216e-13,1.913669841198224e-12,-6.979212659431032e-18
