q1,q2,q3,q4,q5,q6,wx_filt,wy_filt,wz_filt,target_dq1,target_dq2,target_dq3,target_dq4,target_dq5,target_dq6
5.103584294795532e-20,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,2.6997043004485692e-20,5.449052296677017e-13,-5.033752292697267e-13,2.7647174032674094e-18,-6.819067102993909e-17,-1.677916105416734e-13,-1.6779161054167343e-13,-1.6779161054167343e-13,5.449050047951493e-13,-4.993486985311995e-16
2.3891693009677204e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,7.241422396284851e-20,5.478357462832645e-13,-5.067634927348229e-13,2.909253640306254e-18,-6.871263211904266e-17,-1.689210309770718e-13,-1.6892103097707181e-13,-1.6892103097707181e-13,5.478355201809852e-13,-5.020597728778541e-16
3.3064266310566106e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,5.0993773355422634e-20,5.470781459875133e-13,-5.061972489848596e-13,3.034334919067523e-18,-6.870002056786862e-17,-1.6873228325710747e-13,-1.6873228325710752e-13,-1.6873228325710752e-13,5.470779202350933e-13,-5.013187824798751e-16
8.601052610282232e-20,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-5.70755568828609e-21,5.428425046913346e-13,-5.020793905390922e-13,3.1392056788852264e-18,-6.820593084836908e-17,-1.6735966482949935e-13,-1.6735966482949937e-13,-1.6735966482949937e-13,5.428422807588699e-13,-4.973468664890287e-16
1.5156605459716418e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-2.586986872117934e-20,5.3533814219094e-13,-4.948005330220028e-13,3.223153421369654e-18,-6.728184956138107e-17,-1.6493338084430627e-13,-1.649333808443063e-13,-1.649333808443063e-13,5.353379214405905e-13,-4.90362911009161e-16
3.757566924104308e-20,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-5.654705851636885e-20,5.247728640013228e-13,-4.847354161539584e-13,3.2855268333653995e-18,-6.597718683402145e-17,-1.6157834448443665e-13,-1.6157834448443668e-13,-1.6157834448443668e-13,5.247726476894943e-13,-4.805824586221504e-16
-1.9714798396048281e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-1.0590049289403378e-19,5.113526159730876e-13,-4.722399162882303e-13,3.3257559544348047e-18,-6.433888990428935e-17,-1.5741318114483517e-13,-1.5741318114483523e-13,-1.5741318114483523e-13,5.113524052530481e-13,-4.682170267670813e-16
-3.2256198503378843e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-9.392231062697385e-20,4.952815205371125e-13,-4.576486670874521e-13,3.343374092983997e-18,-6.241113829277228e-17,-1.525494353247149e-13,-1.5254943532471494e-13,-1.5254943532471494e-13,4.952813164618561e-13,-4.5347380985843e-16
-3.8539373041785562e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-9.301465306854636e-20,4.767622397831623e-13,-4.412732910494127e-13,3.338040990612165e-18,-6.023512067092898e-17,-1.470909811361435e-13,-1.4709098113614353e-13,-1.4709098113614353e-13,4.76762043308355e-13,-4.3655572211929757e-16
-3.7967122264038304e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-1.922378436548089e-20,4.559965854831487e-13,-4.2340125662316954e-13,3.3095665075463e-18,-5.784889501884258e-17,-1.4113364134266204e-13,-1.4113364134266206e-13,-1.4113364134266206e-13,4.559963974700102e-13,-4.1766171983171936e-16
-1.9270445942860074e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,5.1879813035110124e-20,4.33186280726162e-13,-4.042953769788178e-13,3.257933909422088e-18,-5.5287333744550395e-17,-1.3476502028240115e-13,-1.3476502028240118e-13,-1.3476502028240118e-13,4.331861019441688e-13,-3.9698732967975245e-16
-1.8245918462382562e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,8.842039930990755e-20,4.0853378235094825e-13,-3.8419394369969406e-13,3.183321714747736e-18,-5.258215235127543e-17,-1.280645484319734e-13,-1.2806454843197342e-13,-1.2806454843197342e-13,4.085336134802707e-13,-3.747253104944255e-16
-2.8469997705383987e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,1.2203105961815416e-19,3.822430915201418e-13,-3.6331145000226644e-13,3.0861230057192393e-18,-4.976201507907704e-17,-1.211037234795756e-13,-1.2110372347957563e-13,-1.2110372347957563e-13,3.8224293315375494e-13,-3.5106638506672004e-16
-2.6833154297292494e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,5.601788564252427e-20,3.5452049566123177e-13,-3.4183982344598995e-13,2.966961090432672e-18,-4.6852706342272295e-17,-1.1394652122807587e-13,-1.1394652122807587e-13,-1.1394652122807587e-13,3.545203483066667e-13,-3.2619998675039997e-16
