Time_sec,Roll_deg,Pitch_deg,Yaw_deg
146.66,-2.38655e-06,6.08126e-08,-34.4531
146.67,-2.33005e-06,6.07705e-08,-34.596
146.68,-2.27339e-06,6.07092e-08,-34.7389
146.69,-2.21657e-06,6.06344e-08,-34.8817
146.7,-2.15961e-06,6.05511e-08,-35.0243
146.71,-2.10251e-06,6.04637e-08,-35.1668
146.72,-2.04528e-06,6.03743e-08,-35.3091
146.73,-1.98791e-06,6.02849e-08,-35.4514
146.74,-1.93042e-06,6.01961e-08,-35.5934
146.75,-1.87281e-06,6.01092e-08,-35.7354
146.76,-1.81508e-06,6.00246e-08,-35.8771
146.77,-1.75724e-06,5.99431e-08,-36.0188
146.78,-1.69928e-06,5.98645e-08,-36.1603
146.79,-1.64122e-06,5.9789e-08,-36.3016
146.8,-1.58305e-06,5.97163e-08,-36.4428
146.81,-1.52479e-06,5.96466e-08,-36.5839
146.82,-1.46642e-06,5.95801e-08,-36.7248
146.83,-1.40796e-06,5.95162e-08,-36.8655
146.84,-1.3494e-06,5.94549e-08,-37.0061
146.85,-1.29076e-06,5.93962e-08,-37.1466
146.86,-1.23204e-06,5.93397e-08,-37.2869
146.87,-1.17323e-06,5.92856e-08,-37.427
146.88,-1.11434e-06,5.92337e-08,-37.567
146.89,-1.05538e-06,5.91835e-08,-37.7069
146.9,-9.96345e-07,5.9136e-08,-37.8466
146.91,-9.37222e-07,5.91068e-08,-37.9861
146.92,-8.78014e-07,5.90965e-08,-38.1256
146.93,-8.1873e-07,5.91005e-08,-38.2651
146.94,-7.5938e-07,5.91142e-08,-38.4045
146.95,-6.99972e-07,5.91342e-08,-38.5439
146.96,-6.40512e-07,5.91584e-08,-38.6832
146.97,-5.81006e-07,5.91847e-08,-38.8226
146.98,-5.21458e-07,5.92119e-08,-38.9619
146.99,-4.61873e-07,5.92393e-08,-39.1011
147,-4.02254e-07,5.92662e-08,-39.2404
147.01,-3.42606e-07,5.9292e-08,-39.3796
147.02,-2.82932e-07,5.9317e-08,-39.5187
147.03,-2.23236e-07,5.93404e-08,-39.6579
147.04,-1.63521e-07,5.93629e-08,-39.797
147.05,-1.03792e-07,5.93839e-08,-39.9361
147.06,-4.40505e-08,5.94033e-08,-40.0751
147.07,1.56984e-08,5.94212e-08,-40.2141
